Played 186 out of 4900 games (4%): [84, 43] 
Played 187 out of 4900 games (4%): [85, 43] 
Played 188 out of 4900 games (4%): [85, 44] 
Played 189 out of 4900 games (4%): [86, 44] 
Played 190 out of 4900 games (4%): [86, 47] 
Played 191 out of 4900 games (4%): [87, 47] 
Played 192 out of 4900 games (4%): [88, 47] 
Played 193 out of 4900 games (4%): [90, 47] 
Played 194 out of 4900 games (4%): [93, 47] 
Played 195 out of 4900 games (4%): [93, 49] 
Played 196 out of 4900 games (4%): [94, 49] 
Played 197 out of 4900 games (4%): [96, 49] 
Played 198 out of 4900 games (4%): [96, 50] 
Played 199 out of 4900 games (4%): [97, 50] 
Played 200 out of 4900 games (4%): [99, 50] 
Played 201 out of 4900 games (4%): [1, 0] 
Played 202 out of 4900 games (4%): [1, 1] 
Played 203 out of 4900 games (4%): [1, 3] 
Played 204 out of 4900 games (4%): [2, 3] 
Played 205 out of 4900 games (4%): [3, 3] 
Played 206 out of 4900 games (4%): [4, 3] 
Played 207 out of 4900 games (4%): [4, 4] 
Played 208 out of 4900 games (4%): [5, 4] 
Played 209 out of 4900 games (4%): [6, 4] 
Played 210 out of 4900 games (4%): [7, 4] 
Played 211 out of 4900 games (4%): [8, 4] 
Played 212 out of 4900 games (4%): [9, 4] 
Played 213 out of 4900 games (4%): [11, 4] 
Played 214 out of 4900 games (4%): [12, 4] 
Played 215 out of 4900 games (4%): [13, 4] 
Played 216 out of 4900 games (4%): [14, 4] 
Played 217 out of 4900 games (4%): [14, 7] 
Played 218 out of 4900 games (4%): [14, 8] 
Played 219 out of 4900 games (4%): [16, 8] 
Played 220 out of 4900 games (4%): [18, 8] 
Played 221 out of 4900 games (5%): [19, 8] 
Played 222 out of 4900 games (5%): [19, 11] 
Played 223 out of 4900 games (5%): [20, 11] 
Played 224 out of 4900 games (5%): [22, 11] 
Played 225 out of 4900 games (5%): [24, 11] 
Played 226 out of 4900 games (5%): [26, 11] 
Played 227 out of 4900 games (5%): [27, 11] 
Played 228 out of 4900 games (5%): [27, 13] 
Played 229 out of 4900 games (5%): [29, 13] 
Played 230 out of 4900 games (5%): [30, 13] 
Played 231 out of 4900 games (5%): [31, 13] 
Played 232 out of 4900 games (5%): [32, 13] 
Played 233 out of 4900 games (5%): [33, 13] 
Played 234 out of 4900 games (5%): [34, 13] 
Played 235 out of 4900 games (5%): [36, 13] 
Played 236 out of 4900 games (5%): [36, 14] 
Played 237 out of 4900 games (5%): [38, 14] 
Played 238 out of 4900 games (5%): [40, 14] 
Played 239 out of 4900 games (5%): [41, 14] 
Played 240 out of 4900 games (5%): [43, 14] 
Played 241 out of 4900 games (5%): [43, 15] 
