Played 315 out of 4900 games (6%): [10, 9] 
Played 316 out of 4900 games (6%): [10, 10] 
Played 317 out of 4900 games (6%): [10, 11] 
Played 318 out of 4900 games (6%): [10, 12] 
Played 319 out of 4900 games (7%): [11, 12] 
Played 320 out of 4900 games (7%): [12, 12] 
Played 321 out of 4900 games (7%): [12, 13] 
Played 322 out of 4900 games (7%): [12, 14] 
Played 323 out of 4900 games (7%): [12, 16] 
Played 324 out of 4900 games (7%): [13, 16] 
Played 325 out of 4900 games (7%): [13, 17] 
Played 326 out of 4900 games (7%): [14, 17] 
Played 327 out of 4900 games (7%): [15, 17] 
Played 328 out of 4900 games (7%): [16, 17] 
Played 329 out of 4900 games (7%): [17, 17] 
Played 330 out of 4900 games (7%): [17, 18] 
Played 331 out of 4900 games (7%): [18, 18] 
Played 332 out of 4900 games (7%): [18, 19] 
Played 333 out of 4900 games (7%): [19, 19] 
Played 334 out of 4900 games (7%): [20, 19] 
Played 335 out of 4900 games (7%): [21, 19] 
Played 336 out of 4900 games (7%): [23, 19] 
Played 337 out of 4900 games (7%): [23, 20] 
Played 338 out of 4900 games (7%): [23, 21] 
Played 339 out of 4900 games (7%): [24, 21] 
Played 340 out of 4900 games (7%): [24, 22] 
Played 341 out of 4900 games (7%): [25, 22] 
Played 342 out of 4900 games (7%): [26, 22] 
Played 343 out of 4900 games (7%): [26, 23] 
Played 344 out of 4900 games (7%): [26, 24] 
Played 345 out of 4900 games (7%): [26, 25] 
Played 346 out of 4900 games (7%): [26, 26] 
Played 347 out of 4900 games (7%): [26, 27] 
Played 348 out of 4900 games (7%): [26, 28] 
Played 349 out of 4900 games (7%): [26, 29] 
Played 350 out of 4900 games (7%): [27, 29] 
Played 351 out of 4900 games (7%): [28, 29] 
Played 352 out of 4900 games (7%): [29, 29] 
Played 353 out of 4900 games (7%): [29, 30] 
Played 354 out of 4900 games (7%): [31, 30] 
Played 355 out of 4900 games (7%): [31, 31] 
Played 356 out of 4900 games (7%): [32, 31] 
Played 357 out of 4900 games (7%): [33, 31] 
Played 358 out of 4900 games (7%): [33, 33] 
Played 359 out of 4900 games (7%): [34, 33] 
Played 360 out of 4900 games (7%): [36, 33] 
Played 361 out of 4900 games (7%): [36, 34] 
Played 362 out of 4900 games (7%): [36, 35] 
Played 363 out of 4900 games (7%): [37, 35] 
Played 364 out of 4900 games (7%): [37, 36] 
Played 365 out of 4900 games (7%): [38, 36] 
Played 366 out of 4900 games (7%): [38, 37] 
Played 367 out of 4900 games (7%): [39, 37] 
Played 368 out of 4900 games (8%): [40, 37] 
Played 369 out of 4900 games (8%): [41, 37] 
Played 370 out of 4900 games (8%): [42, 37] 
Played 371 out of 4900 games (8%): [43, 37] 
Played 372 out of 4900 games (8%): [43, 39] 
Played 373 out of 4900 games (8%): [44, 39] 
Played 374 out of 4900 games (8%): [44, 40] 
Played 375 out of 4900 games (8%): [44, 41] 
Played 376 out of 4900 games (8%): [45, 41] 
Played 377 out of 4900 games (8%): [46, 41] 
Played 378 out of 4900 games (8%): [47, 41] 
Played 379 out of 4900 games (8%): [47, 42] 
Played 380 out of 4900 games (8%): [47, 43] 
Played 381 out of 4900 games (8%): [48, 43] 
Played 382 out of 4900 games (8%): [50, 43] 
Played 383 out of 4900 games (8%): [51, 43] 
Played 384 out of 4900 games (8%): [51, 44] 
Played 385 out of 4900 games (8%): [52, 44] 
Played 386 out of 4900 games (8%): [54, 44] 
Played 387 out of 4900 games (8%): [55, 44] 
Played 388 out of 4900 games (8%): [57, 44] 
Played 389 out of 4900 games (8%): [58, 44] 
Played 390 out of 4900 games (8%): [60, 44] 
Played 391 out of 4900 games (8%): [61, 44] 
Played 392 out of 4900 games (8%): [62, 44] 
Played 393 out of 4900 games (8%): [63, 44] 
Played 394 out of 4900 games (8%): [64, 44] 
Played 395 out of 4900 games (8%): [66, 44] 
Played 396 out of 4900 games (8%): [68, 44] 
Played 397 out of 4900 games (8%): [69, 44] 
Played 398 out of 4900 games (8%): [70, 44] 
Played 399 out of 4900 games (8%): [71, 44] 
Played 400 out of 4900 games (8%): [72, 44] 
Played 401 out of 4900 games (8%): [0, 2] 
Played 402 out of 4900 games (8%): [0, 3] 
Played 403 out of 4900 games (8%): [0, 4] 
Played 404 out of 4900 games (8%): [0, 6] 
Played 405 out of 4900 games (8%): [0, 7] 
Played 406 out of 4900 games (8%): [0, 8] 
Played 407 out of 4900 games (8%): [1, 8] 
Played 408 out of 4900 games (8%): [1, 9] 
Played 409 out of 4900 games (8%): [1, 10] 
Played 410 out of 4900 games (8%): [2, 10] 
Played 411 out of 4900 games (8%): [2, 11] 
Played 412 out of 4900 games (8%): [3, 11] 
Played 413 out of 4900 games (8%): [3, 12] 
Played 414 out of 4900 games (8%): [3, 13] 
Played 415 out of 4900 games (8%): [3, 14] 
Played 416 out of 4900 games (8%): [4, 14] 
Played 417 out of 4900 games (9%): [4, 15] 
Played 418 out of 4900 games (9%): [6, 15] 
Played 419 out of 4900 games (9%): [6, 16] 
Played 420 out of 4900 games (9%): [6, 17] 
Played 421 out of 4900 games (9%): [6, 18] 
Played 422 out of 4900 games (9%): [7, 18] 
Played 423 out of 4900 games (9%): [8, 18] 
Played 424 out of 4900 games (9%): [8, 19] 
Played 425 out of 4900 games (9%): [8, 20] 
Played 426 out of 4900 games (9%): [8, 22] 
Played 427 out of 4900 games (9%): [8, 23] 
Played 428 out of 4900 games (9%): [8, 24] 
Played 429 out of 4900 games (9%): [8, 26] 
Played 430 out of 4900 games (9%): [8, 27] 
Played 431 out of 4900 games (9%): [8, 29] 
Played 432 out of 4900 games (9%): [8, 30] 
Played 433 out of 4900 games (9%): [9, 30] 
Played 434 out of 4900 games (9%): [9, 31] 
Played 435 out of 4900 games (9%): [10, 31] 
Played 436 out of 4900 games (9%): [11, 31] 
Played 437 out of 4900 games (9%): [11, 32] 
Played 438 out of 4900 games (9%): [12, 32] 
Played 439 out of 4900 games (9%): [12, 33] 
Played 440 out of 4900 games (9%): [14, 33] 
Played 441 out of 4900 games (9%): [14, 34] 
Played 442 out of 4900 games (9%): [14, 35] 
Played 443 out of 4900 games (9%): [15, 35] 
Played 444 out of 4900 games (9%): [15, 36] 
Played 445 out of 4900 games (9%): [16, 36] 
Played 446 out of 4900 games (9%): [17, 36] 
Played 447 out of 4900 games (9%): [18, 36] 
Played 448 out of 4900 games (9%): [18, 37] 
Played 449 out of 4900 games (9%): [18, 38] 
