Playing 24200 games:
Played 190 out of 24200 games (1%): [182, 83] 
Played 191 out of 24200 games (1%): [183, 83] 
Played 192 out of 24200 games (1%): [185, 83] 
Played 193 out of 24200 games (1%): [186, 83] 
Played 194 out of 24200 games (1%): [188, 83] 
Played 195 out of 24200 games (1%): [189, 83] 
Played 196 out of 24200 games (1%): [190, 83] 
Played 197 out of 24200 games (1%): [191, 83] 
Played 198 out of 24200 games (1%): [192, 83] 
Played 199 out of 24200 games (1%): [192, 84] 
Played 200 out of 24200 games (1%): [195, 84] 
Played 201 out of 24200 games (1%): [2, 0] 
Played 202 out of 24200 games (1%): [3, 0] 
Played 203 out of 24200 games (1%): [4, 0] 
Played 204 out of 24200 games (1%): [5, 0] 
Played 205 out of 24200 games (1%): [6, 0] 
Played 206 out of 24200 games (1%): [8, 0] 
Played 207 out of 24200 games (1%): [10, 0] 
Played 208 out of 24200 games (1%): [11, 0] 
Played 209 out of 24200 games (1%): [12, 0] 
Played 210 out of 24200 games (1%): [13, 0] 
Played 211 out of 24200 games (1%): [14, 0] 
Played 212 out of 24200 games (1%): [16, 0] 
Played 213 out of 24200 games (1%): [17, 0] 
Played 214 out of 24200 games (1%): [17, 1] 
Played 215 out of 24200 games (1%): [17, 3] 
Played 216 out of 24200 games (1%): [17, 4] 
Played 217 out of 24200 games (1%): [17, 5] 
Played 218 out of 24200 games (1%): [19, 5] 
Played 219 out of 24200 games (1%): [20, 5] 
Played 220 out of 24200 games (1%): [21, 5] 
Played 221 out of 24200 games (1%): [21, 7] 
Played 222 out of 24200 games (1%): [22, 7] 
Played 223 out of 24200 games (1%): [22, 9] 
Played 224 out of 24200 games (1%): [23, 9] 
Played 225 out of 24200 games (1%): [23, 10] 
Played 226 out of 24200 games (1%): [25, 10] 
Played 227 out of 24200 games (1%): [26, 10] 
Played 228 out of 24200 games (1%): [27, 10] 
Played 229 out of 24200 games (1%): [27, 11] 
Played 230 out of 24200 games (1%): [27, 13] 
Played 231 out of 24200 games (1%): [28, 13] 
Played 232 out of 24200 games (1%): [29, 13] 
Played 233 out of 24200 games (1%): [30, 13] 
Played 234 out of 24200 games (1%): [31, 13] 
Played 235 out of 24200 games (1%): [31, 14] 
Played 236 out of 24200 games (1%): [32, 14] 
Played 237 out of 24200 games (1%): [34, 14] 
Played 238 out of 24200 games (1%): [35, 14] 
Played 239 out of 24200 games (1%): [36, 14] 
Played 240 out of 24200 games (1%): [36, 16] 
Played 241 out of 24200 games (1%): [36, 18] 
Played 242 out of 24200 games (1%): [37, 18] 
Played 243 out of 24200 games (1%): [38, 18] 
Played 244 out of 24200 games (1%): [40, 18] 
Played 245 out of 24200 games (1%): [41, 18] 
Played 246 out of 24200 games (1%): [42, 18] 
Played 247 out of 24200 games (1%): [42, 20] 
