/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
Playing 24200 games:
Played 256 out of 24200 games (1%): [48, 33] 
Played 257 out of 24200 games (1%): [49, 33] 
Played 258 out of 24200 games (1%): [49, 35] 
Played 259 out of 24200 games (1%): [49, 36] 
Played 260 out of 24200 games (1%): [49, 38] 
Played 261 out of 24200 games (1%): [49, 40] 
Played 262 out of 24200 games (1%): [51, 40] 
Played 263 out of 24200 games (1%): [53, 40] 
Played 264 out of 24200 games (1%): [55, 40] 
Played 265 out of 24200 games (1%): [55, 42] 
Played 266 out of 24200 games (1%): [56, 42] 
Played 267 out of 24200 games (1%): [56, 44] 
Played 268 out of 24200 games (1%): [57, 44] 
Played 269 out of 24200 games (1%): [58, 44] 
Played 270 out of 24200 games (1%): [59, 44] 
Played 271 out of 24200 games (1%): [60, 44] 
Played 272 out of 24200 games (1%): [61, 44] 
Played 273 out of 24200 games (1%): [62, 44] 
Played 274 out of 24200 games (1%): [63, 44] 
Played 275 out of 24200 games (1%): [65, 44] 
Played 276 out of 24200 games (1%): [66, 44] 
Played 277 out of 24200 games (1%): [67, 44] 
Played 278 out of 24200 games (1%): [69, 44] 
Played 279 out of 24200 games (1%): [69, 45] 
Played 280 out of 24200 games (1%): [70, 45] 
Played 281 out of 24200 games (1%): [71, 45] 
Played 282 out of 24200 games (1%): [71, 47] 
Played 283 out of 24200 games (1%): [72, 47] 
Played 284 out of 24200 games (1%): [72, 48] 
Played 285 out of 24200 games (1%): [72, 49] 
Played 286 out of 24200 games (1%): [72, 50] 
Played 287 out of 24200 games (1%): [72, 53] 
Played 288 out of 24200 games (1%): [73, 53] 
Played 289 out of 24200 games (1%): [73, 55] 
Played 290 out of 24200 games (1%): [74, 55] 
Played 291 out of 24200 games (1%): [76, 55] 
Played 292 out of 24200 games (1%): [77, 55] 
Played 293 out of 24200 games (1%): [78, 55] 
Played 294 out of 24200 games (1%): [79, 55] 
Played 295 out of 24200 games (1%): [80, 55] 
Played 296 out of 24200 games (1%): [81, 55] 
Played 297 out of 24200 games (1%): [82, 55] 
Played 298 out of 24200 games (1%): [82, 57] 
Played 299 out of 24200 games (1%): [83, 57] 
Played 300 out of 24200 games (1%): [83, 58] 
Played 301 out of 24200 games (1%): [84, 58] 
Played 302 out of 24200 games (1%): [86, 58] 
Played 303 out of 24200 games (1%): [87, 58] 
Played 304 out of 24200 games (1%): [88, 58] 
Played 305 out of 24200 games (1%): [88, 61] 
Played 306 out of 24200 games (1%): [89, 61] 
Played 307 out of 24200 games (1%): [89, 62] 
Played 308 out of 24200 games (1%): [89, 64] 
Played 309 out of 24200 games (1%): [90, 64] 
Played 310 out of 24200 games (1%): [91, 64] 
Played 311 out of 24200 games (1%): [92, 64] 
Played 312 out of 24200 games (1%): [92, 67] 
Played 313 out of 24200 games (1%): [94, 67] 
Played 314 out of 24200 games (1%): [94, 68] 
Played 315 out of 24200 games (1%): [95, 68] 
Played 316 out of 24200 games (1%): [95, 70] 
Played 317 out of 24200 games (1%): [96, 70] 
Played 318 out of 24200 games (1%): [96, 71] 
Played 319 out of 24200 games (1%): [98, 71] 
Played 320 out of 24200 games (1%): [99, 71] 
Played 321 out of 24200 games (1%): [100, 71] 
Played 322 out of 24200 games (1%): [101, 71] 
Played 323 out of 24200 games (1%): [102, 71] 
Played 324 out of 24200 games (1%): [103, 71] 
Played 325 out of 24200 games (1%): [103, 74] 
Played 326 out of 24200 games (1%): [104, 74] 
Played 327 out of 24200 games (1%): [104, 75] 
Played 328 out of 24200 games (1%): [106, 75] 
Played 329 out of 24200 games (1%): [107, 75] 
Played 330 out of 24200 games (1%): [108, 75] 
Played 331 out of 24200 games (1%): [109, 75] 
Played 332 out of 24200 games (1%): [110, 75] 
Played 333 out of 24200 games (1%): [111, 75] 
Played 334 out of 24200 games (1%): [112, 75] 
Played 335 out of 24200 games (1%): [112, 76] 
Played 336 out of 24200 games (1%): [115, 76] 
Played 337 out of 24200 games (1%): [117, 76] 
Played 338 out of 24200 games (1%): [117, 78] 
Played 339 out of 24200 games (1%): [118, 78] 
Played 340 out of 24200 games (1%): [119, 78] 
Played 341 out of 24200 games (1%): [119, 79] 
Played 342 out of 24200 games (1%): [122, 79] 
Played 343 out of 24200 games (1%): [124, 79] 
