Played 288 out of 4900 games (6%): [134, 22] 
Played 289 out of 4900 games (6%): [136, 22] 
Played 290 out of 4900 games (6%): [136, 23] 
Played 291 out of 4900 games (6%): [139, 23] 
Played 292 out of 4900 games (6%): [139, 25] 
Played 293 out of 4900 games (6%): [141, 25] 
Played 294 out of 4900 games (6%): [144, 25] 
Played 295 out of 4900 games (6%): [147, 25] 
Played 296 out of 4900 games (6%): [148, 25] 
Played 297 out of 4900 games (6%): [148, 26] 
Played 298 out of 4900 games (6%): [148, 27] 
Played 299 out of 4900 games (6%): [151, 27] 
Played 300 out of 4900 games (6%): [153, 27] 
Played 301 out of 4900 games (6%): [0, 2] 
Played 302 out of 4900 games (6%): [3, 2] 
Played 303 out of 4900 games (6%): [4, 2] 
Played 304 out of 4900 games (6%): [4, 3] 
Played 305 out of 4900 games (6%): [5, 3] 
Played 306 out of 4900 games (6%): [7, 3] 
Played 307 out of 4900 games (6%): [8, 3] 
Played 308 out of 4900 games (6%): [9, 3] 
Played 309 out of 4900 games (6%): [10, 3] 
Played 310 out of 4900 games (6%): [12, 3] 
Played 311 out of 4900 games (6%): [12, 5] 
Played 312 out of 4900 games (6%): [14, 5] 
Played 313 out of 4900 games (6%): [16, 5] 
Played 314 out of 4900 games (6%): [17, 5] 
Played 315 out of 4900 games (6%): [17, 6] 
Played 316 out of 4900 games (6%): [20, 6] 
Played 317 out of 4900 games (6%): [22, 6] 
Played 318 out of 4900 games (6%): [23, 6] 
Played 319 out of 4900 games (7%): [26, 6] 
Played 320 out of 4900 games (7%): [29, 6] 
Played 321 out of 4900 games (7%): [32, 6] 
Played 322 out of 4900 games (7%): [35, 6] 
Played 323 out of 4900 games (7%): [36, 6] 
Played 324 out of 4900 games (7%): [39, 6] 
Played 325 out of 4900 games (7%): [42, 6] 
Played 326 out of 4900 games (7%): [43, 6] 
Played 327 out of 4900 games (7%): [44, 6] 
Played 328 out of 4900 games (7%): [47, 6] 
Played 329 out of 4900 games (7%): [47, 7] 
Played 330 out of 4900 games (7%): [47, 9] 
Played 331 out of 4900 games (7%): [49, 9] 
Played 332 out of 4900 games (7%): [50, 9] 
Played 333 out of 4900 games (7%): [52, 9] 
Played 334 out of 4900 games (7%): [53, 9] 
Played 335 out of 4900 games (7%): [53, 10] 
Played 336 out of 4900 games (7%): [56, 10] 
Played 337 out of 4900 games (7%): [58, 10] 
Played 338 out of 4900 games (7%): [60, 10] 
Played 339 out of 4900 games (7%): [63, 10] 
Played 340 out of 4900 games (7%): [65, 10] 
Played 341 out of 4900 games (7%): [68, 10] 
Played 342 out of 4900 games (7%): [71, 10] 
Played 343 out of 4900 games (7%): [71, 13] 
Played 344 out of 4900 games (7%): [71, 15] 
Played 345 out of 4900 games (7%): [71, 16] 
Played 346 out of 4900 games (7%): [74, 16] 
Played 347 out of 4900 games (7%): [76, 16] 
Played 348 out of 4900 games (7%): [79, 16] 
Played 349 out of 4900 games (7%): [80, 16] 
Played 350 out of 4900 games (7%): [81, 16] 
Played 351 out of 4900 games (7%): [83, 16] 
Played 352 out of 4900 games (7%): [84, 16] 
Played 353 out of 4900 games (7%): [86, 16] 
Played 354 out of 4900 games (7%): [89, 16] 
Played 355 out of 4900 games (7%): [91, 16] 
Played 356 out of 4900 games (7%): [91, 17] 
Played 357 out of 4900 games (7%): [93, 17] 
Played 358 out of 4900 games (7%): [95, 17] 
Played 359 out of 4900 games (7%): [96, 17] 
Played 360 out of 4900 games (7%): [97, 17] 
Played 361 out of 4900 games (7%): [99, 17] 
Played 362 out of 4900 games (7%): [102, 17] 
Played 363 out of 4900 games (7%): [104, 17] 
Played 364 out of 4900 games (7%): [106, 17] 
Played 365 out of 4900 games (7%): [107, 17] 
Played 366 out of 4900 games (7%): [108, 17] 
Played 367 out of 4900 games (7%): [110, 17] 
Played 368 out of 4900 games (8%): [111, 17] 
Played 369 out of 4900 games (8%): [112, 17] 
Played 370 out of 4900 games (8%): [114, 17] 
Played 371 out of 4900 games (8%): [116, 17] 
Played 372 out of 4900 games (8%): [118, 17] 
Played 373 out of 4900 games (8%): [120, 17] 
Played 374 out of 4900 games (8%): [122, 17] 
Played 375 out of 4900 games (8%): [124, 17] 
Played 376 out of 4900 games (8%): [126, 17] 
Played 377 out of 4900 games (8%): [126, 19] 
Played 378 out of 4900 games (8%): [128, 19] 
Played 379 out of 4900 games (8%): [128, 21] 
Played 380 out of 4900 games (8%): [129, 21] 
Played 381 out of 4900 games (8%): [130, 21] 
