Played 291 out of 4900 games (6%): [63, 42] 
Played 292 out of 4900 games (6%): [63, 43] 
Played 293 out of 4900 games (6%): [64, 43] 
Played 294 out of 4900 games (6%): [65, 43] 
Played 295 out of 4900 games (6%): [65, 44] 
Played 296 out of 4900 games (6%): [67, 44] 
Played 297 out of 4900 games (6%): [69, 44] 
Played 298 out of 4900 games (6%): [70, 44] 
Played 299 out of 4900 games (6%): [70, 46] 
Played 300 out of 4900 games (6%): [71, 46] 
Played 301 out of 4900 games (6%): [1, 0] 
Played 302 out of 4900 games (6%): [2, 0] 
Played 303 out of 4900 games (6%): [3, 0] 
Played 304 out of 4900 games (6%): [5, 0] 
Played 305 out of 4900 games (6%): [5, 1] 
Played 306 out of 4900 games (6%): [5, 2] 
Played 307 out of 4900 games (6%): [6, 2] 
Played 308 out of 4900 games (6%): [7, 2] 
Played 309 out of 4900 games (6%): [7, 3] 
Played 310 out of 4900 games (6%): [7, 5] 
Played 311 out of 4900 games (6%): [8, 5] 
Played 312 out of 4900 games (6%): [9, 5] 
Played 313 out of 4900 games (6%): [9, 6] 
Played 314 out of 4900 games (6%): [9, 7] 
Played 315 out of 4900 games (6%): [10, 7] 
Played 316 out of 4900 games (6%): [11, 7] 
Played 317 out of 4900 games (6%): [12, 7] 
Played 318 out of 4900 games (6%): [14, 7] 
Played 319 out of 4900 games (7%): [14, 8] 
Played 320 out of 4900 games (7%): [16, 8] 
Played 321 out of 4900 games (7%): [17, 8] 
Played 322 out of 4900 games (7%): [18, 8] 
Played 323 out of 4900 games (7%): [19, 8] 
Played 324 out of 4900 games (7%): [19, 10] 
Played 325 out of 4900 games (7%): [20, 10] 
Played 326 out of 4900 games (7%): [22, 10] 
Played 327 out of 4900 games (7%): [22, 11] 
Played 328 out of 4900 games (7%): [23, 11] 
Played 329 out of 4900 games (7%): [24, 11] 
Played 330 out of 4900 games (7%): [24, 13] 
Played 331 out of 4900 games (7%): [26, 13] 
Played 332 out of 4900 games (7%): [27, 13] 
Played 333 out of 4900 games (7%): [29, 13] 
Played 334 out of 4900 games (7%): [30, 13] 
Played 335 out of 4900 games (7%): [31, 13] 
Played 336 out of 4900 games (7%): [32, 13] 
Played 337 out of 4900 games (7%): [33, 13] 
Played 338 out of 4900 games (7%): [34, 13] 
Played 339 out of 4900 games (7%): [34, 14] 
Played 340 out of 4900 games (7%): [34, 16] 
Played 341 out of 4900 games (7%): [36, 16] 
Played 342 out of 4900 games (7%): [36, 17] 
Played 343 out of 4900 games (7%): [37, 17] 
Played 344 out of 4900 games (7%): [38, 17] 
Played 345 out of 4900 games (7%): [39, 17] 
Played 346 out of 4900 games (7%): [41, 17] 
Played 347 out of 4900 games (7%): [41, 18] 
Played 348 out of 4900 games (7%): [41, 19] 
Played 349 out of 4900 games (7%): [42, 19] 
Played 350 out of 4900 games (7%): [43, 19] 
Played 351 out of 4900 games (7%): [44, 19] 
Played 352 out of 4900 games (7%): [44, 20] 
Played 353 out of 4900 games (7%): [44, 21] 
Played 354 out of 4900 games (7%): [45, 21] 
Played 355 out of 4900 games (7%): [46, 21] 
Played 356 out of 4900 games (7%): [48, 21] 
Played 357 out of 4900 games (7%): [49, 21] 
Played 358 out of 4900 games (7%): [51, 21] 
Played 359 out of 4900 games (7%): [52, 21] 
Played 360 out of 4900 games (7%): [53, 21] 
Played 361 out of 4900 games (7%): [54, 21] 
Played 362 out of 4900 games (7%): [55, 21] 
Played 363 out of 4900 games (7%): [55, 22] 
Played 364 out of 4900 games (7%): [56, 22] 
Played 365 out of 4900 games (7%): [57, 22] 
Played 366 out of 4900 games (7%): [58, 22] 
Played 367 out of 4900 games (7%): [59, 22] 
Played 368 out of 4900 games (8%): [59, 24] 
Played 369 out of 4900 games (8%): [59, 25] 
Played 370 out of 4900 games (8%): [60, 25] 
Played 371 out of 4900 games (8%): [61, 25] 
Played 372 out of 4900 games (8%): [61, 26] 
Played 373 out of 4900 games (8%): [61, 27] 
Played 374 out of 4900 games (8%): [61, 28] 
Played 375 out of 4900 games (8%): [61, 29] 
Played 376 out of 4900 games (8%): [62, 29] 
Played 377 out of 4900 games (8%): [62, 31] 
Played 378 out of 4900 games (8%): [63, 31] 
Played 379 out of 4900 games (8%): [64, 31] 
Played 380 out of 4900 games (8%): [64, 32] 
Played 381 out of 4900 games (8%): [64, 33] 
Played 382 out of 4900 games (8%): [65, 33] 
Played 383 out of 4900 games (8%): [66, 33] 
Played 384 out of 4900 games (8%): [66, 34] 
Played 385 out of 4900 games (8%): [66, 36] 
Played 386 out of 4900 games (8%): [66, 37] 
Played 387 out of 4900 games (8%): [66, 38] 
Played 388 out of 4900 games (8%): [68, 38] 
Played 389 out of 4900 games (8%): [69, 38] 
Played 390 out of 4900 games (8%): [69, 39] 
Played 391 out of 4900 games (8%): [70, 39] 
Played 392 out of 4900 games (8%): [72, 39] 
Played 393 out of 4900 games (8%): [72, 40] 
Played 394 out of 4900 games (8%): [73, 40] 
Played 395 out of 4900 games (8%): [73, 41] 
Played 396 out of 4900 games (8%): [73, 42] 
Played 397 out of 4900 games (8%): [73, 43] 
Played 398 out of 4900 games (8%): [73, 44] 
Played 399 out of 4900 games (8%): [75, 44] 
Played 400 out of 4900 games (8%): [76, 44] 
Played 401 out of 4900 games (8%): [0, 1] 
Played 402 out of 4900 games (8%): [1, 1] 
Played 403 out of 4900 games (8%): [1, 2] 
Played 404 out of 4900 games (8%): [1, 3] 
Played 405 out of 4900 games (8%): [2, 3] 
Played 406 out of 4900 games (8%): [2, 4] 
Played 407 out of 4900 games (8%): [3, 4] 
Played 408 out of 4900 games (8%): [3, 5] 
Played 409 out of 4900 games (8%): [3, 6] 
Played 410 out of 4900 games (8%): [3, 7] 
Played 411 out of 4900 games (8%): [4, 7] 
Played 412 out of 4900 games (8%): [4, 8] 
Played 413 out of 4900 games (8%): [5, 8] 
Played 414 out of 4900 games (8%): [5, 9] 
Played 415 out of 4900 games (8%): [6, 9] 
Played 416 out of 4900 games (8%): [7, 9] 
Played 417 out of 4900 games (9%): [8, 9] 
Played 418 out of 4900 games (9%): [9, 9] 
Played 419 out of 4900 games (9%): [9, 10] 
Played 420 out of 4900 games (9%): [11, 10] 
Played 421 out of 4900 games (9%): [12, 10] 
Played 422 out of 4900 games (9%): [13, 10] 
Played 423 out of 4900 games (9%): [14, 10] 
Played 424 out of 4900 games (9%): [16, 10] 
Played 425 out of 4900 games (9%): [18, 10] 
Played 426 out of 4900 games (9%): [20, 10] 
Played 427 out of 4900 games (9%): [21, 10] 
Played 428 out of 4900 games (9%): [21, 11] 
Played 429 out of 4900 games (9%): [23, 11] 
Played 430 out of 4900 games (9%): [23, 12] 
Played 431 out of 4900 games (9%): [24, 12] 
Played 432 out of 4900 games (9%): [24, 13] 
Played 433 out of 4900 games (9%): [24, 14] 
Played 434 out of 4900 games (9%): [24, 15] 
Played 435 out of 4900 games (9%): [24, 16] 
Played 436 out of 4900 games (9%): [25, 16] 
Played 437 out of 4900 games (9%): [25, 17] 
Played 438 out of 4900 games (9%): [26, 17] 
Played 439 out of 4900 games (9%): [28, 17] 
Played 440 out of 4900 games (9%): [29, 17] 
Played 441 out of 4900 games (9%): [30, 17] 
Played 442 out of 4900 games (9%): [31, 17] 
Played 443 out of 4900 games (9%): [31, 18] 
Played 444 out of 4900 games (9%): [33, 18] 
Played 445 out of 4900 games (9%): [33, 19] 
Played 446 out of 4900 games (9%): [34, 19] 
Played 447 out of 4900 games (9%): [35, 19] 
Played 448 out of 4900 games (9%): [36, 19] 
Played 449 out of 4900 games (9%): [36, 20] 
Played 450 out of 4900 games (9%): [37, 20] 
Played 451 out of 4900 games (9%): [37, 21] 
Played 452 out of 4900 games (9%): [39, 21] 
Played 453 out of 4900 games (9%): [41, 21] 
Played 454 out of 4900 games (9%): [41, 22] 
Played 455 out of 4900 games (9%): [41, 23] 
Played 456 out of 4900 games (9%): [42, 23] 
Played 457 out of 4900 games (9%): [42, 25] 
Played 458 out of 4900 games (9%): [43, 25] 
Played 459 out of 4900 games (9%): [43, 26] 
Played 460 out of 4900 games (9%): [44, 26] 
Played 461 out of 4900 games (9%): [45, 26] 
Played 462 out of 4900 games (9%): [45, 27] 
Played 463 out of 4900 games (9%): [45, 28] 
Played 464 out of 4900 games (9%): [46, 28] 
Played 465 out of 4900 games (9%): [47, 28] 
Played 466 out of 4900 games (10%): [48, 28] 
Played 467 out of 4900 games (10%): [50, 28] 
Played 468 out of 4900 games (10%): [51, 28] 
Played 469 out of 4900 games (10%): [51, 29] 
Played 470 out of 4900 games (10%): [53, 29] 
Played 471 out of 4900 games (10%): [54, 29] 
Played 472 out of 4900 games (10%): [54, 30] 
Played 473 out of 4900 games (10%): [54, 31] 
Played 474 out of 4900 games (10%): [54, 32] 
Played 475 out of 4900 games (10%): [55, 32] 
Played 476 out of 4900 games (10%): [55, 33] 
Played 477 out of 4900 games (10%): [56, 33] 
Played 478 out of 4900 games (10%): [56, 34] 
Played 479 out of 4900 games (10%): [57, 34] 
Played 480 out of 4900 games (10%): [59, 34] 
Played 481 out of 4900 games (10%): [59, 35] 
Played 482 out of 4900 games (10%): [60, 35] 
Played 483 out of 4900 games (10%): [60, 37] 
Played 484 out of 4900 games (10%): [61, 37] 
Played 485 out of 4900 games (10%): [62, 37] 
Played 486 out of 4900 games (10%): [62, 39] 
Played 487 out of 4900 games (10%): [62, 41] 
Played 488 out of 4900 games (10%): [63, 41] 
Played 489 out of 4900 games (10%): [64, 41] 
Played 490 out of 4900 games (10%): [64, 42] 
Played 491 out of 4900 games (10%): [66, 42] 
Played 492 out of 4900 games (10%): [66, 43] 
Played 493 out of 4900 games (10%): [67, 43] 
Played 494 out of 4900 games (10%): [69, 43] 
Played 495 out of 4900 games (10%): [69, 45] 
Played 496 out of 4900 games (10%): [69, 46] 
Played 497 out of 4900 games (10%): [70, 46] 
Played 498 out of 4900 games (10%): [70, 47] 
